Date,off_P,mid_P,on_P,lower_P,upper_P
"(2022,02,1)",8.20,11.30,17.00,9.80,11.50
"(2022,01,1)",8.20,8.20,8.20,8.20,8.20
"(2021,12,1)",8.20,11.30,17.00,9.80,11.50
"(2021,11,1)",8.20,11.30,17.00,9.80,11.50
"(2021,10,1)",8.20,11.30,17.00,9.80,11.50
"(2021,09,1)",8.20,11.30,17.00,9.80,11.50
"(2021,08,1)",8.20,11.30,17.00,9.80,11.50
"(2021,07,1)",8.20,11.30,17.00,9.80,11.50
"(2021,06,1)",8.20,11.30,17.00,9.80,11.50
"(2021,05,1)",8.20,11.30,17.00,9.80,11.50
"(2021,04,1)",8.50,11.90,17.60,10.10,11.80
"(2021,03,1)",8.50,11.90,17.60,10.10,11.80
"(2021,02,1)",8.50,11.90,17.60,10.10,11.80
"(2021,01,1)",8.50,8.50,8.50,8.50,8.50
"(2020,12,1)",10.50,15.00,21.70,12.60,14.60
"(2020,11,1)",10.50,15.00,21.70,12.60,14.60
"(2020,10,1)",12.80,12.80,12.80,11.90,13.90
"(2020,09,1)",12.80,12.80,12.80,11.90,13.90
"(2020,08,1)",12.80,12.80,12.80,11.90,13.90
"(2020,07,1)",12.80,12.80,12.80,11.90,13.90
"(2020,06,1)",12.80,12.80,12.80,11.90,13.90
"(2020,05,1)",10.10,10.10,10.10,11.90,13.90
"(2020,04,1)",10.10,10.10,10.10,11.90,13.90
"(2020,03,1)",10.10,10.10,10.10,11.90,13.90
"(2020,02,1)",10.10,14.40,20.80,11.90,13.90
"(2020,01,1)",10.10,14.40,20.80,11.90,13.90
"(2019,12,1)",10.10,14.40,20.80,11.90,13.90
"(2019,11,1)",10.10,14.40,20.80,11.90,13.90
"(2019,10,1)",6.50,9.40,13.40,7.70,8.90
"(2019,09,1)",6.50,9.40,13.40,7.70,8.90
"(2019,08,1)",6.50,9.40,13.40,7.70,8.90
"(2019,07,1)",6.50,9.40,13.40,7.70,8.90
"(2019,06,1)",6.50,9.40,13.40,7.70,8.90
"(2019,05,1)",6.50,9.40,13.40,7.70,8.90
"(2019,04,1)",6.50,9.40,13.20,7.70,8.90
"(2019,03,1)",6.50,9.40,13.20,7.70,8.90
"(2019,02,1)",6.50,9.40,13.20,7.70,8.90
"(2019,01,1)",6.50,9.40,13.20,7.70,8.90
"(2018,12,1)",6.50,9.40,13.20,7.70,8.90
"(2018,11,1)",6.50,9.40,13.20,7.70,8.90
"(2018,10,1)",6.50,9.40,13.20,7.70,8.90
"(2018,09,1)",6.50,9.40,13.20,7.70,8.90
"(2018,08,1)",6.50,9.40,13.20,7.70,8.90
"(2018,07,1)",6.50,9.40,13.20,7.70,8.90
"(2018,06,1)",6.50,9.40,13.20,7.70,8.90
"(2018,05,1)",6.50,9.40,13.20,7.70,8.90
"(2018,04,1)",6.50,9.50,13.20,7.70,9.00
"(2018,03,1)",6.50,9.50,13.20,7.70,9.00
"(2018,02,1)",6.50,9.50,13.20,7.70,9.00
"(2018,01,1)",6.50,9.50,13.20,7.70,9.00
"(2017,12,1)",6.50,9.50,13.20,7.70,9.00
"(2017,11,1)",6.50,9.50,13.20,7.70,9.00
"(2017,10,1)",6.50,9.50,13.20,7.70,9.00
"(2017,09,1)",6.50,9.50,13.20,7.70,9.00
"(2017,08,1)",6.50,9.50,13.20,7.70,9.00
"(2017,07,1)",6.50,9.50,13.20,7.70,9.00
"(2017,06,1)",7.70,11.30,15.70,9.10,10.60
"(2017,05,1)",7.70,11.30,15.70,9.10,10.60
"(2017,04,1)",8.70,13.20,18.00,10.30,12.10
"(2017,03,1)",8.70,13.20,18.00,10.30,12.10
"(2017,02,1)",8.70,13.20,18.00,10.30,12.10
"(2017,01,1)",8.70,13.20,18.00,10.30,12.10
"(2016,12,1)",8.70,13.20,18.00,10.30,12.10
"(2016,11,1)",8.70,13.20,18.00,10.30,12.10
"(2016,10,1)",8.70,13.20,18.00,10.30,12.10
"(2016,09,1)",8.70,13.20,18.00,10.30,12.10
"(2016,08,1)",8.70,13.20,18.00,10.30,12.10
"(2016,07,1)",8.70,13.20,18.00,10.30,12.10
"(2016,06,1)",8.70,13.20,18.00,10.30,12.10
"(2016,05,1)",8.70,13.20,18.00,10.30,12.10
"(2016,04,1)",8.30,12.80,17.50,9.90,11.60
"(2016,03,1)",8.30,12.80,17.50,9.90,11.60
"(2016,02,1)",8.30,12.80,17.50,9.90,11.60
"(2016,01,1)",8.30,12.80,17.50,9.90,11.60
"(2015,12,1)",8.30,12.80,17.50,9.90,11.60
"(2015,11,1)",8.30,12.80,17.50,9.90,11.60
"(2015,10,1)",8.00,12.20,16.10,9.40,11.00
"(2015,09,1)",8.00,12.20,16.10,9.40,11.00
"(2015,08,1)",8.00,12.20,16.10,9.40,11.00
"(2015,07,1)",8.00,12.20,16.10,9.40,11.00
"(2015,06,1)",8.00,12.20,16.10,9.40,11.00
"(2015,05,1)",8.00,12.20,16.10,9.40,11.00
"(2015,04,1)",7.70,11.40,14.00,8.80,10.30
"(2015,03,1)",7.70,11.40,14.00,8.80,10.30
"(2015,02,1)",7.70,11.40,14.00,8.80,10.30
"(2015,01,1)",7.70,11.40,14.00,8.80,10.30
